YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1997,999.90,999.90,999.90,999.90,999.90,999.90,999.90,19.40,19.33,17.61,12.79,10.61,999.90,999.90,999.90,16.58,999.90
1998,10.28,12.64,13.64,10.77,15.84,17.64,20.56,21.04,18.24,14.80,11.91,8.27,11.18,13.42,19.75,14.98,14.83
1999,9.17,8.63,11.71,13.94,16.69,20.05,22.24,21.09,19.43,16.21,11.56,9.75,8.69,14.11,21.13,15.73,14.92
2000,7.52,11.52,13.32,11.42,15.52,19.72,19.82,20.12,18.22,14.72,11.62,11.52,9.60,13.42,19.89,14.85,14.44
2001,10.02,10.96,12.84,13.11,15.52,18.62,18.72,19.72,19.82,16.92,10.82,8.32,10.83,13.82,19.02,15.85,14.88
2002,10.82,10.92,12.82,12.92,14.12,16.92,19.02,19.42,18.42,17.02,12.22,11.92,10.02,13.29,18.45,15.89,14.41
2003,8.92,9.32,13.02,13.62,16.62,19.42,19.22,22.72,20.52,15.02,12.82,9.82,10.05,14.42,20.45,16.12,15.26
2004,10.22,10.32,10.82,12.82,15.82,20.32,20.12,19.82,19.52,15.02,11.32,8.92,10.12,13.15,20.09,15.29,14.66
2005,8.12,7.82,12.52,13.42,16.92,20.42,20.82,23.67,18.92,17.12,11.72,9.62,8.29,14.29,21.64,15.92,15.03
2006,7.82,8.82,11.82,14.62,17.22,19.42,21.92,22.12,19.12,17.72,14.52,9.32,8.75,14.55,21.15,17.12,15.39
2007,9.52,11.02,11.82,13.62,15.22,17.42,19.22,20.32,20.12,16.52,12.32,9.62,9.95,13.55,18.99,16.32,14.70
2008,10.92,12.82,11.32,14.32,14.52,18.72,19.92,19.32,18.52,15.02,10.32,9.12,11.12,13.39,19.32,14.62,14.61
2009,8.72,10.22,13.82,11.62,16.62,19.12,18.92,20.62,19.92,18.42,13.02,10.27,9.35,14.02,19.55,17.12,15.01
2010,9.12,9.32,11.22,15.12,15.92,18.22,21.72,22.42,19.51,15.43,10.92,9.72,9.57,14.09,20.79,15.29,14.93
2011,9.32,10.42,11.92,999.90,18.32,18.92,19.02,20.02,19.32,18.92,12.60,9.75,9.82,14.85,19.32,16.95,15.23
2012,8.92,8.40,13.79,11.22,16.75,18.49,19.23,19.97,20.74,15.85,11.26,10.53,9.02,13.92,19.23,15.95,14.53
2013,10.20,8.75,11.09,12.92,14.85,18.36,22.82,21.59,20.91,17.09,11.54,9.99,9.83,12.95,20.92,16.51,15.05
2014,10.03,9.89,12.08,14.45,16.96,18.45,19.56,20.11,20.00,19.43,13.12,8.68,9.97,14.50,19.37,17.52,15.34
2015,8.59,8.89,11.81,15.33,17.62,19.96,20.25,20.30,17.91,16.99,13.67,13.30,8.72,14.92,20.17,16.19,15.00
2016,11.41,10.17,10.37,13.45,15.26,18.70,23.20,21.70,19.53,17.65,12.65,11.08,11.63,13.03,21.20,16.61,15.62
2017,9.03,11.65,12.75,16.41,18.01,20.28,20.29,20.78,17.91,19.25,13.14,10.48,10.59,15.72,20.45,16.77,15.88
2018,9.71,9.48,10.69,12.88,15.49,17.64,19.39,22.19,21.03,16.86,12.49,11.61,9.89,13.02,19.74,16.79,14.86
2019,9.41,11.79,13.28,12.68,17.58,17.03,20.21,20.40,20.14,16.24,999.90,11.79,10.94,14.51,19.21,16.25,15.23
2020,10.21,999.90,12.04,13.61,18.06,17.83,22.08,999.90,999.90,14.96,14.41,10.45,11.14,14.57,20.37,16.33,15.60
2021,8.55,12.19,13.20,14.70,14.88,17.85,19.25,19.68,19.38,17.54,11.52,12.55,10.40,14.26,18.93,16.15,14.93
2022,10.33,11.34,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.41,999.90,999.90,999.90,999.90
